frame,time_s,latency_ms,detected,gt_x,gt_y,gt_z,gt_dist,gt_yaw,pred_x,pred_y,pred_z,pred_dist,pred_yaw,reprojection_error_px
69,2.3000,1.1345,1,0.3054,-0.0874,4.7308,4.7414,-14.9376,0.3212,-0.0910,4.9619,4.9731,-15.0400,0.0621
70,2.3333,1.2497,1,0.3048,-0.0909,4.7124,4.7231,-15.0135,0.3188,-0.0942,4.9469,4.9581,-15.1832,0.1090
71,2.3667,1.1765,1,0.3041,-0.0944,4.6940,4.7048,-15.0618,0.3202,-0.0989,4.9264,4.9378,-15.1575,0.0447
72,2.4000,1.2132,1,0.3032,-0.0977,4.6756,4.6864,-15.0826,0.3179,-0.1022,4.9013,4.9127,-15.3296,0.0534
73,2.4333,1.1302,1,0.3021,-0.1008,4.6572,4.6681,-15.0762,0.3174,-0.1062,4.8867,4.8982,-15.2275,0.1630
74,2.4667,1.1548,1,0.3010,-0.1039,4.6388,4.6497,-15.0427,0.3157,-0.1097,4.8627,4.8741,-15.0262,0.0461
75,2.5000,1.8920,1,0.2997,-0.1068,4.6204,4.6313,-14.9825,0.3141,-0.1123,4.8467,4.8581,-14.8017,0.1031
76,2.5333,1.1625,1,0.2982,-0.1095,4.6020,4.6130,-14.8958,0.3134,-0.1130,4.8322,4.8437,-15.0412,0.1796
77,2.5667,1.2315,1,0.2967,-0.1122,4.5836,4.5946,-14.7832,0.3115,-0.1174,4.8094,4.8209,-15.2123,0.0779
78,2.6000,2.0310,1,0.2950,-0.1147,4.5652,4.5762,-14.6449,0.3092,-0.1205,4.7794,4.7909,-14.7569,0.1133
79,2.6333,1.2341,1,0.2931,-0.1170,4.5468,4.5578,-14.4816,0.3072,-0.1226,4.7648,4.7763,-14.6163,0.0657
80,2.6667,1.2164,1,0.2912,-0.1192,4.5284,4.5393,-14.2937,0.3063,-0.1257,4.7635,4.7750,-14.3314,0.0533
81,2.7000,1.2723,1,0.2891,-0.1213,4.5100,4.5209,-14.0818,0.3032,-0.1276,4.7350,4.7464,-14.2816,0.1062
82,2.7333,1.2475,1,0.2869,-0.1232,4.4916,4.5025,-13.8464,0.3007,-0.1292,4.7150,4.7263,-13.9292,0.0740
83,2.7667,1.1135,1,0.2846,-0.1250,4.4732,4.4840,-13.5883,0.2986,-0.1318,4.6915,4.7029,-13.5776,0.0230
84,2.8000,1.2983,1,0.2822,-0.1266,4.4548,4.4656,-13.3081,0.2939,-0.1330,4.6708,4.6820,-13.4694,0.1953
85,2.8333,1.3475,1,0.2797,-0.1281,4.4365,4.4471,-13.0066,0.2942,-0.1359,4.6540,4.6653,-13.2574,0.2729
86,2.8667,1.2767,1,0.2770,-0.1295,4.4181,4.4286,-12.6844,0.2921,-0.1363,4.6405,4.6517,-13.1052,0.1656
87,2.9000,1.2571,1,0.2743,-0.1307,4.3997,4.4101,-12.3424,0.2872,-0.1371,4.6206,4.6315,-12.3953,0.1079
88,2.9333,1.3046,1,0.2714,-0.1317,4.3813,4.3916,-11.9813,0.2834,-0.1369,4.5752,4.5860,-11.7255,0.2116
89,2.9667,1.1819,1,0.2684,-0.1326,4.3629,4.3731,-11.6021,0.2809,-0.1384,4.5712,4.5819,-11.6033,0.0826
90,3.0000,1.2349,1,0.2654,-0.1334,4.3445,4.3546,-11.2055,0.2789,-0.1391,4.5569,4.5675,-11.4081,0.0489
91,3.0333,1.2798,1,0.2622,-0.1340,4.3261,4.3361,-10.7925,0.2744,-0.1397,4.5318,4.5423,-10.9194,0.0939
92,3.0667,1.5843,1,0.2589,-0.1344,4.3077,4.3176,-10.3640,0.2704,-0.1400,4.4962,4.5065,-10.2161,0.0803
93,3.1000,1.1595,1,0.2556,-0.1348,4.2893,4.2990,-9.9209,0.2685,-0.1415,4.4889,4.4991,-9.7274,0.1322
94,3.1333,1.2091,1,0.2521,-0.1349,4.2709,4.2805,-9.4642,0.2641,-0.1423,4.4829,4.4929,-9.5827,0.0647
95,3.1667,1.3185,1,0.2486,-0.1350,4.2525,4.2619,-8.9948,0.2608,-0.1410,4.4573,4.4672,-9.0964,0.1045
96,3.2000,1.2612,1,0.2449,-0.1349,4.2341,4.2433,-8.5138,0.2568,-0.1416,4.4198,4.4295,-8.5226,0.1164
97,3.2333,1.2709,1,0.2412,-0.1346,4.2157,4.2248,-8.0222,0.2512,-0.1380,4.4024,4.4117,-8.1668,0.1937
98,3.2667,1.2273,1,0.2374,-0.1343,4.1973,4.2062,-7.5208,0.2487,-0.1411,4.3908,4.4001,-7.0046,0.0433
99,3.3000,1.1764,1,0.2336,-0.1337,4.1789,4.1876,-7.0109,0.2432,-0.1415,4.3485,4.3575,-6.6512,0.2595
100,3.3333,1.1940,1,0.2296,-0.1331,4.1605,4.1690,-6.4934,0.2398,-0.1380,4.3666,4.3753,-6.2308,0.1099
101,3.3667,1.2636,1,0.2256,-0.1323,4.1421,4.1504,-5.9693,0.2359,-0.1383,4.3248,4.3335,-6.0095,0.1011
